iteration,diff
2,6.65037367249124
3,6.41777115909169
4,0.218059278094586
5,0.267256975729154
6,1.74659047757903
7,0.173790687036458
8,0.178093495727595
9,0.0530130524197716
10,1.47442287044852
11,1.05369504263302
12,0.714896386008803
13,0.286796127678372
14,0.179613497634207
15,0.163735287913767
16,0.228351311414855
17,1.01021589822462
18,0.811402183690632
19,0.602566160805438
20,0.472282223132396
21,0.128844272422981
22,0.188937430069444
23,0.549029450738018
24,0.379395078816216
25,0.975016317675113
26,0.45008558008773
27,0.0450256319939655
28,0.237137956357913
29,0.385426871710095
30,0.500857619600339
31,0.0749010750613053
32,0.600402230492321
33,0.190859506200624
34,0.218593367050175
35,0.0192797766684407
36,0.772177809669543
37,0.0591806713852634
38,0.109453419733256
39,0.216312121163369
40,0.0784115872048545
41,0.105579067172968
42,0.259140821516752
43,0.0767599213852606
44,0.287174903522171
45,0.261684109863694
46,0.0411340239791116
47,0.112395106041063
48,0.156730053368989
49,0.279335246131424
50,0.225411394747454
51,0.0700313255682516
52,0.0843469128513874
53,0.224580870997542
54,0.11738658394637
55,0.0681161466155515
56,0.224484555260844
57,0.154472240064962
58,0.171071290492208
59,0.182500259003348
60,0.115153163765982
61,0.0945910362919449
62,0.00550212855836207
63,0.0800933922411815
64,0.155548659703996
65,0.0259972123462688
66,0.26451803092742
67,0.0914269374785022
68,0.0150961362988937
69,0.0325665171441187
70,0.37926735597992
71,0.168237925828763
72,0.142279856852369
73,0.100610353030618
74,0.111738146478999
75,0.162305826188472
76,0.140247977045291
77,0.0530729159162036
78,0.0357531674107321
79,0.204621343335731
80,0.215211264635116
81,0.0303723297978991
82,0.04836382876708
83,0.192968534254518
84,0.0257482033543539
85,0.0597662657499853
86,0.093361928743164
87,0.232097074438158
88,0.182996597064246
89,0.0465533552283972
90,0.143561427149919
91,0.179450444367319
92,0.0554250393364413
93,0.0100277909461965
94,0.134950043546169
95,0.0828151002885846
96,0.113552798531202
97,0.145116135622274
98,0.228715261399714
99,0.0671579892139391
100,0.0228219871066244
101,0.108741671342699
102,0.0781813289836606
103,0.0570556716594837
104,0.122434014072226
105,0.159471514692626
106,0.135522927893476
107,0.0817671064499734
108,0.0428406090977376
109,0.146678442326902
110,0.0807722817164347
111,0.0837324749382446
112,0.0630414026685173
113,0.268505150773308
114,0.157755945143677
115,0.00321019514901599
116,0.0850937469556925
117,0.0269326276401785
118,0.0090632032175364
119,0.00711719526638888
120,0.0843872584615752
121,0.162629416591741
122,0.156445131309809
123,0.0171805884756964
124,0.0180872169325141
125,0.00456623128330591
126,0.0035569343270434
127,0.0693254946484956
128,0.0901542432765154
129,0.0241000064432342
130,0.00318017514734947
131,0.0699653055023077
132,0.0884735622767181
133,0.12402377981013
134,0.101009868370099
135,0.0931996795084586
136,0.0608925552079
137,0.0934010066773681
138,0.169905575131182
139,0.0325599366887133
140,0.0657190413604098
141,0.0142275532021898
142,0.10952823411192
143,0.0159618441249165
144,0.0163713948109176
145,0.0138783197730419
146,0.0603306224900564
147,0.125216712245816
148,0.101280773819028
149,0.00371461025815734
150,0.0908367949204774
151,0.0476000298487946
152,0.0852585013071945
153,0.00935606979115278
154,0.0992034848583643
155,0.0381533559311862
156,0.0712096976211996
157,0.00308677456963835
158,0.0938016775091057
159,0.074726985976838
160,0.0748941271261572
161,0.0649187203272277
162,0.00581038962017999
163,0.0276806730414307
164,0.0300556337789146
165,0.0468449369225823
166,0.0109418336042069
167,0.057163307812516
168,0.0329022878677563
169,0.0917881350889473
170,0.0960981821605174
171,0.02485204566905
172,0.0694389916679228
173,0.108613938325988
174,0.0475644684546523
175,0.0751259684412844
176,0.0288370264078424
177,0.0198475514806944
178,0.0231088779532058
179,0.0145333147756759
180,0.083144934958213
181,0.0535036195908987
182,0.0309168509405282
183,0.0773102726523405
184,0.018050775995988
185,0.242535553673576
186,0.0796199831210913
187,0.0415651449132923
188,0.00732769287246526
189,0.0509391350766464
190,0.00127039731566958
191,0.0196735568528226
192,0.0371329656240817
193,0.0762547483962095
194,0.0591336905818167
195,0.0919139039345964
196,0.00844981634767805
197,0.0647852946639631
198,0.144331007146604
199,0.0964312218122956
200,0.0138636834140726
201,0.0207906876180317
202,0.0673186262671805
203,0.0555278186057535
204,0.0612432677282158
205,0.0648256646907015
206,0.0331371753836009
207,0.0140983194439173
208,0.101361813971351
209,0.0943440035024992
210,0.0539778781255933
211,0.020977240777853
212,0.0911185813160813
213,0.00485682616722727
214,0.0210145752914599
215,0.0198274970443606
216,0.00696791000154917
217,0.0369289471239114
218,0.0220738870766155
219,0.0180510653198951
220,0.0242527933380501
221,0.00127534897485759
222,0.011598394466219
223,0.0317775229912911
224,0.039289832457726
225,0.0453336805161655
226,0.00679730246579879
227,0.0237199085331952
228,0.0017784255283857
229,0.0166733962007584
230,0.0512138356376681
231,0.00760065849759206
232,0.0642535115195955
233,0.00631543406549895
234,0.0359053968939094
235,0.0182616152218458
236,0.0560854522817067
237,0.0125455937122183
238,0.0382786012907559
239,0.0574229171025138
240,0.0875107116735734
241,0.0202382734390056
242,0.0124093536419139
243,0.0800474034591616
244,0.0138330091682093
245,0.0635930514904999
246,0.0280644866151079
247,0.00789547215032371
248,0.119300455686243
249,0.0275614773312327
250,0.00856304965503796
251,0.0434449486415502
252,0.0297484257880001
253,0.0283574664946542
254,0.0216643629720465
255,0.044816798841552
256,0.0170522990654689
257,0.0325846948807964
258,0.0496222933484063
259,0.00550036055007297
260,0.00158763882865287
261,0.0485586296040879
262,0.0499479773494755
